source,target,weight
1042882,1063377,13
1042882,1063518,11
1042882,12518,12
1042882,125482,13
1042882,12951,12
1042882,134486,15
1042882,137705,11
1042882,138238,11
1042882,140342,15
1042882,14265,12
1042882,159874,11
1042882,165173,12
1042882,20768,12
1042882,22303,11
1042882,22904,12
1042882,231305,15
1042882,238275,12
1042882,25854,11
1042882,272101,11
1042882,289450,15
1042882,300127,16
1042882,300713,19
1042882,303196,20
1042882,320705,11
1042882,355758,12
1042882,355759,12
1042882,375451,11
1042882,382555,11
1042882,408249,12
1042882,438167,11
1042882,438214,12
1042882,452649,12
1042882,53707,11
1042882,544220,11
1042882,593275,12
1042882,602625,14
1042882,66350,13
1042882,696058,12
1042882,717323,14
1042882,742283,12
1042882,745380,13
1042882,745886,11
1042882,745909,13
1042882,745911,15
1042882,753775,19
1042882,75518,11
1042882,785923,11
1042882,868167,12
1042882,883259,12
1042882,888058,12
1042882,956266,12
1042882,991178,12
1043035,855353,11
1043101,1043120,14
1043101,1043485,16
1043101,1045456,12
1043101,1045479,11
1043101,1045559,13
1043101,1046200,16
1043120,1043485,13
1043120,1046200,12
1043177,1068077,14
1043177,1074256,14
1043177,1075074,13
1043177,189821,15
1043177,201327,15
1043177,201330,15
1043177,219351,15
1043177,604026,15
1043485,1045456,11
1043485,1045479,11
1043485,1045559,11
1043485,1046200,15
1043628,303196,12
1043670,651451,12
1043975,1090748,15
1043975,121082,12
1043975,127134,13
1043975,131593,17
1043975,137221,17
1043975,162089,18
1043975,224004,22
1043975,224089,13
1043975,25572,13
1043975,31005,13
1043975,324168,11
1043975,367229,13
1043975,368268,15
1043975,427691,13
1043975,443874,12
1043975,455897,12
1043975,488188,11
1043975,490632,13
1043975,521860,14
1043975,530294,11
1043975,53741,17
1043975,545958,14
1043975,555844,13
1043975,59326,13
1043975,595252,12
1043975,629566,14
1043975,63835,19
1043975,66105,13
1043975,669440,15
1043975,701693,14
1043975,738104,11
1043975,767937,12
1043975,858391,14
1043975,858471,13
1043975,858475,13
1043975,86664,13
1043975,9350,13
1043975,943885,15
1043975,960185,17
1044155,472964,14
1044155,714942,12
104419,63510,11
1044242,513973,15
1044242,597803,15
1044350,525046,11
1044376,1055731,11
1044376,1063377,11
1044376,1063518,12
1044376,1094240,11
1044376,12518,12
1044376,125482,11
1044376,12951,12
1044376,134486,12
1044376,137705,11
1044376,138238,11
1044376,14265,12
1044376,159874,11
1044376,20768,12
1044376,22303,11
1044376,22904,12
1044376,238275,11
1044376,272101,12
1044376,289450,11
1044376,300713,13
1044376,303196,19
1044376,320705,11
1044376,355758,12
1044376,355759,12
1044376,375451,11
1044376,382555,11
1044376,408249,12
1044376,452649,12
1044376,544220,11
1044376,564498,11
1044376,593275,12
1044376,602625,11
1044376,696058,12
1044376,742283,13
1044376,742288,11
1044376,745380,12
1044376,745883,11
1044376,745886,11
1044376,745905,11
1044376,745909,11
1044376,745911,12
1044376,753775,12
1044376,785923,12
1044376,828128,11
1044376,868167,11
1044376,883259,13
1044376,888058,13
1044376,956266,12
1044381,303196,12
1044527,784217,11
1044661,11934,12
1044661,633321,13
1044730,1063518,11
1044730,112307,12
1044730,134486,21
1044730,140342,11
1044730,168451,12
1044730,217078,11
1044730,231305,11
1044730,303196,19
1044730,438167,13
1044730,565445,11
1044730,580264,12
1044730,602625,14
1044730,66350,12
1044730,714957,13
1044730,745380,12
1044730,745911,14
1044730,777685,11
1044730,785923,11
1044730,830486,11
1044730,844365,16
1044730,987300,11
1044766,1044767,12
1044766,889689,11
1044766,889693,12
1044766,889695,12
1044766,937243,11
1044767,889689,11
1044767,889693,12
1044767,889695,12
1044767,937243,11
1045077,135701,11
1045077,714957,11
1045077,734439,11
1045107,567031,11
1045456,1045559,11
1045456,1046200,12
1045479,1046200,12
1045559,1046200,13
1045587,714957,13
1046200,303196,11
1046762,869699,12
1046779,155599,23
1047450,137956,11
104774,134486,11
104774,714957,12
104774,802709,11
1047785,303196,15
1047785,665006,11
1047823,1088267,12
1047871,224004,13
1047871,868034,12
1049327,18807,22
1049645,948206,15
1049645,994193,14
1050093,134486,11
1050227,855340,12
1050227,857445,13
1050439,303196,12
1050439,312739,11
1050439,312742,12
1050439,617641,11
1050439,665088,11
1050439,744753,11
1050439,929094,11
10511,134486,11
10511,253722,14
1051197,1057761,16
1051197,137986,11
1051197,300143,11
1051197,300144,11
1051197,300145,11
1051197,714957,13
