person_id,person_name,role,event_year,event_title,event_id,event_type,tipo
391790,Pino Castagna,Artista,2009,La Città Ideale (Evento Collaterale),461,event,annali_arti_visive
421110,Ceferino Moreno Sandoval,Commissario,1972,Partecipazioni nazionali: Spagna,5578,section,annali_arti_visive
421110,Ceferino Moreno Sandoval,Commissario,1980,Partecipazioni nazionali: Spagna,5728,section,annali_arti_visive
372588, Valie Export,Commissario,2009,"Partecipazioni nazionali: Austria - Elke Krystufek, Dorit Margreiter, Franziska & Lois Weinberger",2555,section,annali_arti_visive
372588, Valie Export,Interprete,2007,"""Stimmritze"" di Valie Export (Performance)",1495,event,annali_arti_visive
372588, Valie Export,Partecipante,2017,"Body and Soul: Performance Art, passato e presente (Evento collaterale)",1238,event,annali_arti_visive
82292,Richard Hamilton,Artista,2009,Glass Stress (Evento Collaterale),454,event,annali_arti_visive
418069,Khaled Hafez,Partecipante,2015,In the Eye of the Thunderstorm: Effervescent Practices from the Arab World & South Asia (Evento Collaterale),1095,event,annali_arti_visive
377244,Afro Libio Basaldella,Sottocommissione per le arti figurative,1964,32. Esposizione Biennale Internazionale d'Arte,234,manifestazione,annali_arti_visive
384817,Anna Maria Giannuzzi Miraglia,Consiglio Direttivo,1993,50. Mostra Internazionale d’Arte Cinematografica,66,manifestazione,annali_cinema
384817,Anna Maria Giannuzzi Miraglia,Consiglio Direttivo,1993,45. Esposizione Internazionale d'Arte : punti cardinali dell'arte,249,manifestazione,annali_arti_visive
384817,Anna Maria Giannuzzi Miraglia,Consiglio Direttivo,1994,51. Mostra Internazionale d’Arte Cinematografica,67,manifestazione,annali_cinema
384817,Anna Maria Giannuzzi Miraglia,Consiglio Direttivo,1995,52. Mostra Internazionale d’Arte Cinematografica,68,manifestazione,annali_cinema
384817,Anna Maria Giannuzzi Miraglia,Consiglio Direttivo,1995,46. Esposizione Internazionale d'Arte,248,manifestazione,annali_arti_visive
384817,Anna Maria Giannuzzi Miraglia,Consiglio Direttivo,1996,53. Mostra Internazionale d’Arte Cinematografica,69,manifestazione,annali_cinema
384817,Anna Maria Giannuzzi Miraglia,Consiglio Direttivo,1996,6. Mostra Internazionale di Architettura : Sensori del futuro. L’architetto come sismografo,95,manifestazione,annali_architettura
