Artist_URI,Wikidata_ID,Artist_Name,Gender,Birthplace,Deathplace,Birthdate,Deathdate,Nationality,Work_Location_English,Start_Date,End_Date,VB_name
https://data.rkd.nl/artists/434706,,"Hinterseher, Josef",Male,Munich,Munich,1873,1955,German,Munich,1904,1955,Josef Hinterseher
https://data.rkd.nl/artists/434706,,"Hinterseher, Josef",Male,Munich,Munich,1873,1955,German,Paris,1904,1904,Josef Hinterseher
https://data.rkd.nl/artists/434706,,"Hinterseher, Josef",Male,Munich,Munich,1873,1955,German,Brussels,1904,1923,Josef Hinterseher
https://data.rkd.nl/artists/434706,,"Hinterseher, Josef",Male,Munich,Munich,1873,1955,German,The Hague,1904,1923,Josef Hinterseher
https://data.rkd.nl/artists/434706,,"Hinterseher, Josef",Male,Munich,Munich,1873,1955,German,Great Britain,1914,1918,Josef Hinterseher
https://data.rkd.nl/artists/434814,,Jiao Xingtao,Male,Chengdu (Sichuan),,1970,nan,Chinese,Chongqing,nan,nan,Jiao Xingtao
https://data.rkd.nl/artists/43490,Q822507,"Karfiol, Bernard",Male,Hungary,,1886,1952,American,New York City,1906,1906,Bernard Karfiol
https://data.rkd.nl/artists/434976,Q23936752,"Hofner, Otto",Male,Vienna (city),Vienna (city),1879,1946,Austrian,Vienna,1898,1899,Otto Hofner
https://data.rkd.nl/artists/434976,Q23936752,"Hofner, Otto",Male,Vienna (city),Vienna (city),1879,1946,Austrian,Paris,1903,1903,Otto Hofner
https://data.rkd.nl/artists/434976,Q23936752,"Hofner, Otto",Male,Vienna (city),Vienna (city),1879,1946,Austrian,Great Britain,1903,1903,Otto Hofner
https://data.rkd.nl/artists/434976,Q23936752,"Hofner, Otto",Male,Vienna (city),Vienna (city),1879,1946,Austrian,Netherlands,1903,1903,Otto Hofner
https://data.rkd.nl/artists/434976,Q23936752,"Hofner, Otto",Male,Vienna (city),Vienna (city),1879,1946,Austrian,Belgium,1903,1903,Otto Hofner
https://data.rkd.nl/artists/434976,Q23936752,"Hofner, Otto",Male,Vienna (city),Vienna (city),1879,1946,Austrian,Northern Germany,1903,1903,Otto Hofner
https://data.rkd.nl/artists/435064,Q29554246,"Mirza, Haroon",Male,London (England),,1977,nan,British,London,2011,2011,Haroon Mirza
https://data.rkd.nl/artists/435064,Q29554246,"Mirza, Haroon",Male,London (England),,1977,nan,British,Sheffield,2011,2011,Haroon Mirza
https://data.rkd.nl/artists/435127,,"Rungjang, Arin",Male,,,1975,nan,Thai,Bangkok,nan,nan,Arin Rungjang
https://data.rkd.nl/artists/435370,,"Jaeckle, Charles",Male,Sierentz (Haut-Rhin),Basel (Switzerland),1872,1923,German,Colmar,nan,nan,Charles Jaeckle
https://data.rkd.nl/artists/435510,Q878213,"Roemer, Georg",Male,Bremen (city),Munich,1868,1922,German,Bremen,nan,nan,Georg Roemer
https://data.rkd.nl/artists/43556,Q24139814,"Kasparides, Eduard",Male,Krönau,Bad Gleichenberg,1858,1926,Austrian,Vienna,nan,nan,Eduard Kasparides
https://data.rkd.nl/artists/435922,Q1912843,"Klein, Max",Male,Gönc,Grunewald (Berlin),1847,1908,Hungarian,Budapest,nan,nan,Max Klein
https://data.rkd.nl/artists/435922,Q1912843,"Klein, Max",Male,Gönc,Grunewald (Berlin),1847,1908,Hungarian,Rome,1869,1877,Max Klein
